#,Reference,Qty,Value,Footprint,DNP,LCSC
1,"C6, C12, C17",3,1uF,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,C15849
2,"C7, C8, C9, C13, C18",5,100nf,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,C14663
3,"C14, C15, C16",3,10uf,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,C96446
4,CON1,1,SJ1-3523N,digikey-footprints:Headphone_Jack_3.5mm_SJ1-3523N,,
5,"D1, D2",2,"PMEG2020EPK,315",PMEG2020EPK315,,C552841
6,D4,1,WS2813,LED_SMD:LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,,C114592
7,"Data1, GND1, VCC1",3,RCW-0C,digikey-footprints:PROBE_PAD_1206,,
8,"GND2, RX1, TX1",3,1508-0-57-15-00-00-03-0,digikey-footprints:Test-Point-Pin_Drill2.79mm,,
9,IC1,1,TPS631010YBGR,BGA8C40P2X4_86X176X50,,C6719123
10,L1,1,DFE252012PD-1R0M=P2,DFE2HCAH1R0MJ0L,,C285917
11,N1,1,V20220506,SquantorLabels:Label_Generic,,
12,P1,1,USB_C_Plug,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,C2982555
13,Q2,1,"BSS138P,215",SamacSys_Parts:SOT95P230X110-3N,,C75547
14,R1,1,1,RESC1608X55N,,C247057
15,"R2, R3, R4, R5",4,15k,RESC1608X55N,,C22809
16,R6,1,511k,RESC1608X55N,,C3016414
17,R7,1,91k,RESC1608X55N,,C101235
18,"S1, S2",2,PTS815_SJM_250_SMTR_LFS,PTS815SJM250SMTRLFS,,C411883
19,U1,1,ESP32-C3-MINI-1,Espressif:ESP32-C3-MINI-1U,,C2911374
