Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C6,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.95,-55.65,90,bottom
C7,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.4,-52.15,-90,bottom
C14,10uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.5,-53.8,0,bottom
C15,10uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.4,-55.75,-90,bottom
C16,10uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120,-64.05,180,bottom
C18,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.35,-62.15,180,bottom
IC1,TPS631010YBGR,BGA8C40P2X4_86X176X50,119.15,-57.85,0,bottom
L1,DFE252012PD-1R0M=P2,DFE2HCAH1R0MJ0L,116.75,-58.15,90,bottom
R3,15k,RESC1608X55N,135.95,-60.65,90,bottom
R6,511k,RESC1608X55N,118,-55.4,0,bottom
R7,91k,RESC1608X55N,120.75,-56.75,-90,bottom
U1,ESP32-C3-MINI-1,ESP32-C3-MINI-1U,128.075,-55.625,180,bottom
C8,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.55,-59,-90,top
C9,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.8,-57.5,90,top
C12,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.85,-55.7,90,top
C13,100nf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.5,-55.3,90,top
C17,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.55,-60.15,180,top
CON1,SJ1-3523N,Headphone_Jack_3.5mm_SJ1-3523N,127.05,-47.8,-90,top
D1,"PMEG2020EPK,315",PMEG2020EPK315,131.05,-59.6,-90,top
D2,"PMEG2020EPK,315",PMEG2020EPK315,122.35,-59.6,-90,top
D4,WS2813,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,126.65,-56.65,0,top
Data1,RCW-0C,PROBE_PAD_1206,117.95,-55.8,0,top
GND1,RCW-0C,PROBE_PAD_1206,117.9,-53.15,0,top
GND2,1508-0-57-15-00-00-03-0,Test-Point-Pin_Drill2.79mm,135,-65.05,0,top
P1,USB_C_Plug,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,126.88,-66.825,0,top
Q2,"BSS138P,215",SOT95P230X110-3N,119.75,-62,90,top
R1,1,RESC1608X55N,126.8,-53.1,180,top
R2,15k,RESC1608X55N,137.8,-54.1,90,top
R4,15k,RESC1608X55N,120.5,-64.55,180,top
R5,15k,RESC1608X55N,117.25,-60.7,90,top
RX1,1508-0-57-15-00-00-03-0,Test-Point-Pin_Drill2.79mm,136.4,-48.25,0,top
S1,PTS815_SJM_250_SMTR_LFS,PTS815SJM250SMTRLFS,135.2,-59.6,-90,top
S2,PTS815_SJM_250_SMTR_LFS,PTS815SJM250SMTRLFS,135.2,-53.45,-90,top
TX1,1508-0-57-15-00-00-03-0,Test-Point-Pin_Drill2.79mm,117.75,-48.55,0,top
VCC1,RCW-0C,PROBE_PAD_1206,117.95,-58.35,0,top
