Designator,Footprint,Quantity,Value,LCSC Part #
"C12, C17, C6",0603,3,1uF,C15849
"C13, C18, C7, C8, C9",0603,5,100nf,C14663
"C14, C15, C16",0603,3,10uf,C96446
CON1,Headphone_Jack_3.5mm_SJ1-3523N,1,SJ1-3523N,
"D1, D2",PMEG2020EPK315,2,"PMEG2020EPK,315",C552841
D4,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,1,WS2813,C114592
"Data1, GND1, VCC1",PROBE_PAD_1206,3,RCW-0C,
"GND2, RX1, TX1",Test-Point-Pin_Drill2.79mm,3,1508-0-57-15-00-00-03-0,
IC1,BGA8C40P2X4_86X176X50,1,TPS631010YBGR,C6719123
L1,DFE2HCAH1R0MJ0L,1,DFE252012PD-1R0M=P2,C285917
P1,USB-C_Female_E8124-015-01,1,USB_C_Plug,C134113
R1,RESC1608X55N,1,1,C247057
"R2, R3",RESC1608X55N,2,15k,C22809
R6,RESC1608X55N,1,511k,C3016414
R7,RESC1608X55N,1,91k,C101235
"S1, S2",PTS815SJM250SMTRLFS,2,PTS815_SJM_250_SMTR_LFS,C411883
U1,ESP32-C3-MINI-1U,1,ESP32-C3-MINI-1,C2911374
